,target,text,text_fr
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,J'ai fini mon déjeuner puis j'ai décroché lor. Ard 3 smth lor. U fini le déjeuner ur déjà?
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,Je ne peux pas te rencontrer plus tôt?
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Je n'ai pas faim, ça craint, Mark s'inquiète, il sait que je suis malade quand je refuse la pizza."
26,ham,Lol your always so convincing.,Allongez votre toujours si convaincant.
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Tu as pris le bus? Tu fais frire un œuf? Tu as fait un thé? Tu manges le reste de ta mère après le dîner? Tu sens mon amour?
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Je suis de retour &amp; nous sommes en train d'emballer la voiture maintenant, je vous ferai savoir s'il y a de la place"
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Je m'en souviens vaguement! Qu'est-ce que ça fait?
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Attends que ce n'est pas tout à fait clair, n'étais-tu pas sûr que je sois sarcastique ou que c'est pourquoi x ne veut pas vivre avec nous"
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,Oui il est entré à 2 ans et était v apologétique. n était tombé dehors et elle était actin comme enfant gâté et il a été pris dans cela. Jusqu'à 2 ans! Mais nous n'allons pas là-bas!
32,ham,K tell me anything about you.,Je n'ai rien à vous dire.
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,De peur de s'évanouir avec toutes ces tâches ménagères que tu viens de faire?
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Merci pour votre abonnement à Ringtone UK votre mobile sera facturé £5/mois Veuillez confirmer en répondant OUI ou NON. Si vous répondez NON vous ne serez pas facturé
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Ouais... Ok je rentre à la maison regarder les timings puis i msg ü encore... Xuhui va apprendre le 2e mai aussi mais sa leçon est à 8h
36,ham,"Oops, I'll let you know when my roommate's done","Oups, je te préviendrai quand ma colocataire aura fini."
37,ham,I see the letter B on my car,Je vois la lettre B sur ma voiture.
38,ham,Anything lor... U decide...,Tout ce que le lor... U décidera...
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Bonjour! Comment allez-vous et comment ça s'est passé samedi? Je textais juste pour voir si vous aviez décidé de faire n'importe quoi tomo. Pas que j'essaie de m'inviter ou quoi que ce soit!
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls va de l'avant avec watts. Je voulais juste être sûr.
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Est-ce que j'ai oublié de te le dire? Je te veux, j'ai besoin de toi, je t'ai envie... Mais surtout... Je t'aime ma douce arabo... Mmmmm... Miammy"
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = Nous avons essayé de vous appeler re votre réponse à nos sms pour un mobile nokia gratuit + caméscope gratuit. Veuillez appeler au 08000930705 pour la livraison demain
43,ham,WHO ARE YOU SEEING?,Qui vois-tu?
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Super! J'espère que vous aimez votre homme bien doué. Je suis &lt;#&gt; pouces...
45,ham,No calls..messages..missed calls,Pas d'appels..messages..appels manqués
46,ham,Didn't you get hep b immunisation in nigeria.,Vous n'avez pas reçu d'immunisation de l'hépatite B en nigère.
47,ham,"Fair enough, anything going on?","C'est juste, il se passe quelque chose?"
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Oui, j'espère, si Tyler ne peut pas le faire, je pourrais peut-être demander un peu."
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Je ne voulais même pas aller à l'hôpital.
50,ham,What you thinked about me. First time you saw me in class.,La première fois que tu m'as vu en cours.
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Un gramme fonctionne habituellement comme &lt;#&gt;, un demi-huitième est plus intelligent cependant et vous obtient presque un second gramme entier pour &lt;#&gt;"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x a un tour tôt demain matin mais il s'écrase chez nous ce soir
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Je n'ai jamais réalisé que tu étais si embarrassée par tes logements. Je pensais que tu l'aimais, puisque je faisais de mon mieux et que tu avais toujours l'air si content de ""la grotte"". Je suis désolé de ne pas avoir eu plus à donner. Je suis désolé d'avoir offert. Je suis désolé que ta chambre ait été si embarrassante."
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: Les Devils du New Jersey et les Red Wings de Detroit jouent au hockey sur glace. Correct ou incorrect? Fin? Réponse END SPTV
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Savez-vous ce que Mallika Sherawat a fait hier? Découvrez maintenant @ &lt;URL&gt;
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Félicitations! 1 an de laissez-passer spécial cinéma pour 2 est à vous. appelez le 09061209465 maintenant! C Suprman V, Matrix3, StarWars3, etc tous les 4 GRATUIT! bx420-ip4-5we. 150pm. Ne manquez pas!"
57,ham,"Sorry, I'll call later in meeting.","Désolé, j'appellerai plus tard à la réunion."
58,ham,Tell where you reached,Dites où vous êtes arrivé.
59,ham,Yes..gauti and sehwag out of odi series.,Oui..gauti et sehwag en série d'odi.
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,"Tu vas devoir prendre un hamburger pour toi-même en rentrant, je ne peux même pas bouger, la douleur me tue."
61,ham,Ha ha ha good joke. Girls are situation seekers.,Les filles cherchent la situation.
62,ham,Its a part of checking IQ,C'est une partie du contrôle du QI
63,ham,"Sorry my roommates took forever, it ok if I come by now?","Désolé que mes colocataires aient pris une éternité, ça va si je viens maintenant?"
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar je double vérifier wif da coiffeur déjà il a dit wun couper v court. Il a dit couper jusqu'à ce que je sois belle.
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","En tant que client apprécié, je suis heureux de vous informer qu'à la suite d'un récent examen de votre Mob No. vous êtes récompensé avec un Prix Bonus £1500, appelez 09066364589"
66,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Aujourd'hui c'est ""jour de chant dédié... Quelle chanson va-t-on me dédier? Envoyez ceci à tous les frnds précieux mais tout d'abord rply moi..."
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR a accordé un voyage gratuit à EuroDisinc Trav, Aco&Entry41 ou £1000. Pour réclamer txt DIS à 87121 18+6*£1.50(plusFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Avez-vous entendu parler de la nouvelle ""Divorce Barbie""? Il vient avec tous les trucs de Ken!"
69,ham,I plane to give on this month end.,J'ai pris l'avion pour donner ce mois-ci.
70,ham,Wah lucky man... Then can save money... Hee...,L'homme chanceux... peut alors économiser de l'argent...
71,ham,Finished class where are you.,J'ai fini la classe où tu es.
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"Bonjour, je veux faire quelque chose à la maison? XX"
73,ham,K..k:)where are you?how did you performed?,K.k:)Où êtes-vous?Comment avez-vous joué?
74,ham,U can call me now...,U peut m'appeler maintenant...
75,ham,I am waiting machan. Call me once you free.,Appelez-moi une fois libre.
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,C'est cool. Je suis un gentleman et je vous traiterai avec dignité et respect.
77,ham,I like you peoples very much:) but am very shy pa.,Je vous aime beaucoup les peuples:) mais je suis très timide papa.
78,ham,Does not operate after  &lt;#&gt;  or what,Ne fonctionne pas après &lt;#&gt; ou quoi
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,"Ce n'est pas la même chose ici, toujours à la recherche d'un emploi, combien Ta gagne là-bas."
80,ham,"Sorry, I'll call later","Désolé, je t'appelle plus tard."
81,ham,K. Did you call me just now ah?,K. Est-ce que tu m'as appelé tout à l'heure?
82,ham,Ok i am on the way to home hi hi,Ok je suis sur le chemin de la maison bonjour
83,ham,You will be in the place of that man,Tu seras à la place de cet homme.
84,ham,Yup next stop.,"Oui, prochain arrêt."
85,ham,"I call you later, don't have network. If urgnt, sms me.","Je t'appelle plus tard, n'ai pas de réseau."
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Je n'ai besoin que de 2 billets et d'une veste de plus et j'ai fini. J'ai déjà utilisé tous mes multis.
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Oui, j'ai commencé à envoyer des demandes pour le faire mais la douleur est revenue alors je suis de retour au lit. Double pièces à l'usine aussi."
88,ham,I'm really not up to it still tonight babe,Je n'en suis pas encore là ce soir.
89,ham,"Ela kano.,il download, come wen ur free..","Ela kano.,il téléchargement, venez wen ur gratuitement.."
90,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,"Ne te tiens pas pour fermer, tu vas attraper quelque chose!"
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,Désolé d'être une douleur. Est-ce que c'est ok si nous rencontrons une autre nuit? J'ai passé la fin de l'après-midi dans la victime et cela signifie que je n'ai pas fait de trucs y42moro et cela inclut tous mes draps de temps et ça. Désolé.
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile in Pleasure Smile in Pain Smile when trouble like Rain Smile when sum1 Hurts U Smile becoz SOMEONE aime toujours voir u Smileing!!
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,S'il vous plaît appeler notre représentant du service à la clientèle au 0800 169 6031 entre 10h et 21h puisque vous avez WON un montant garanti de £1000 cash ou £5000 prix!
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Je vérifie déjà que lido n'a obtenu 530 spectacle dans l'après-midi. U terminer le travail déjà?
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Votre sonnerie gratuite est en attente d'être collectée. Il suffit de texte le mot de passe ""MIX"" à 85069 à vérifier. Obtenez Usher et Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
96,ham,Watching telugu movie..wat abt u?,Regarder un telugu film..wat abt u?
97,ham,i see. When we finish we have loads of loans to pay,"Quand nous aurons fini, nous aurons beaucoup de prêts à payer."
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","Bonjour. Wk a été ok - sur Hols maintenant! Oui sur un peu de course. J'ai oublié que j'ai rendez-vous des coiffeurs à quatre, donc besoin de rentrer à la maison n douche à l'avance. Est-ce que cela cause problème pour u?"""
99,ham,I see a cup of coffee animation,Je vois une tasse d'animation de café
100,ham,Please don't text me anymore. I have nothing else to say.,"Ne m'envoie plus de SMS, je n'ai rien d'autre à dire."
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Ok nom ur prix aussi longtemps que son légal! Wen puis-je les ramasser? Y u ave x ams xx
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Je cherche toujours une voiture à acheter et je n'ai pas encore passé le 4e test de conduite.
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune"
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Je suppose qu'une fois que j'ai abandonné les hommes de Boston et que j'ai changé mon emplacement de recherche en nyc, quelque chose a changé."
105,ham,Umma my life and vava umma love you lot dear,Umma ma vie et Vava Umma vous aiment beaucoup
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Merci beaucoup pour vos souhaits pour mon anniversaire. Merci de rendre mon anniversaire vraiment mémorable.
107,ham,"Aight, I'll hit you up when I get some cash",Je te frapperai quand j'aurai de l'argent.
108,ham,How would my ip address test that considering my computer isn't a minecraft server,Comment mon adresse ip testerait que vu que mon ordinateur n'est pas un serveur de minecraft
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Je sais, les vieux grincheux, ma mère était comme toi, mieux vaut ne pas mentir."
110,ham,Dont worry. I guess he's busy.,"Ne t'inquiète pas, je suppose qu'il est occupé."
111,ham,What is the plural of the noun research?,Quel est le pluriel de la recherche nominative?
112,ham,Going for dinner.msg you after.,"Je vais dîner, après."
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,"Je vais bien parce que j'aime 2 essayer de nouvelles choses, mais j'ai peur que tu dînes comme mah."
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! Nous essayons de vous contacter. Le tirage du week-end dernier montre que vous avez gagné un prix de £1000 GARANTIE. Appelez 09064012160. Code de réclamation K52. Valable 12hs seulement. 150ppm
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, ur openin phrase très formelle... bref, je vais bien aussi, j'ai trop mangé de n puttin sur le poids... Haha... donc tout ce qui est spécial est arrivé?"
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Comme je suis entré dans ma cabine, mon PA a dit, '' Happy B'day Boss!!''. Je me sentais spécial. Elle m'a demandé 4 déjeuner. Après le déjeuner, elle m'a invité à son appartement. Nous y sommes allés."
117,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),Vous êtes un gagnant U ont été spécialement sélectionnés 2 recevoir £1000 ou un 4* vacances (vols inc) parler à un opérateur en direct 2 réclamation 0871277810910p/min (18+)
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,"Oui, nous devons parler vendredi - rapport oeuf-potato pour la tortilla nécessaire!"
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Mon oncle m'a dit qu'il payait l'école.
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVÉ! Votre relevé de compte 2004 pour 07742676969 indique 786 points Bonus non remboursés. Pour demander un appel 08719180248 Code d'identification: 45239 Expire
121,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENT! Votre Mobile No. a reçu £2000 Bonus Caller Prize le 5/9/03 C'est notre dernière tentative de contacter U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,ham,here is my new address -apples&pairs&all that malarky,Voici ma nouvelle adresse -apples&pairs&all que malarky
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Aujourd'hui, les numéros Voda se terminant à 7548 sont sélectionnés pour recevoir une indemnité de 350 $. Si vous avez une correspondance, veuillez composer le 08712300220 citant le code de réclamation 4041 application taux standard"
124,ham,I am going to sao mu today. Will be done only at 12,Je vais à sao mu aujourd'hui. Ce sera fait seulement à 12 heures.
125,ham,Ü predict wat time ü'll finish buying?,Ü prédire le temps ü'll finira d'acheter?
126,ham,"Good stuff, will do.",C'est une bonne chose.
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Juste pour que tu saches, Yetunde n'a pas encore envoyé d'argent. Je lui ai juste envoyé un texto pour ne pas déranger l'envoi. Donc c'est fini, tu n'as pas à t'impliquer dans quoi que ce soit."
128,ham,Are you there in room.,Vous êtes là dans la chambre.
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,Hey girl. How R U? Hope U R WELL me un DEL R BAK! Encore longtemps aucun C! me donne un APPEL de somme de LUCYxx
130,ham,K..k:)how much does it cost?,K.k:) Combien cela coûte-t-il?
131,ham,I'm home.,Je suis rentré.
132,ham,"Dear, will call Tmorrow.pls accomodate.","Chère, appellera Tmorrow.pls accommodation."
133,ham,First answer my question.,"D'abord, répondez à ma question."
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"Sunshine Quiz Wkly Q! Gagnez un meilleur lecteur DVD Sony si vous savez dans quel pays se trouve l'Algarve? Txt ansr à 82277. £1,50 SP:Tyrone"
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Vous voulez 2 se faire baiser ce soir? Vous voulez de vrais emplacements de dogging envoyés directement 2 ur maf? Rejoignez le plus grand réseau de dogging du Royaume-Uni bt Txting GRAVEL à 69888! Nt. ec2a. 31p.msg@150p
136,ham,I only haf msn. It's yijue@hotmail.com,Je n'ai fait que msn. C'est yijue@hotmail.com
137,ham,He is there. You call and meet him,"Il est là, tu l'appelles et tu le rencontres."
138,ham,No no. I will check all rooms befor activities,"Non, je vais vérifier toutes les chambres pour les activités."
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Vous ne rcv plus de msgs du chat svc. Pour les services Hardcore GRATUITS texte Aller à: 69988 Si u obtenir rien u doit Age Vérifiez avec le réseau yr et essayez à nouveau
140,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,J'ai... j'ai paresseux à taper... j'ai oublié ü dans le lec... j'ai vu une pochette mais comme pas v bien...
141,ham,"K, text me when you're on the way","K, envoie-moi un texto quand tu seras en route."
142,ham,"Sir, Waiting for your mail.","Monsieur, attendez votre courrier."
143,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","Une pensée swt: ""Ne jamais se lasser de faire des petites choses 4 personnes aimables.."" Coz..somtimes ces petites choses occupent la plus grande partie de leurs Cœurs.. Gud ni8"
144,ham,I know you are. Can you pls open the back?,Tu peux ouvrir l'arrière?
145,ham,Yes see ya not on the dot,Oui vous voyez pas sur le point
146,ham,Whats the staff name who is taking class for us?,Quel est le nom du personnel qui prend les cours pour nous?
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Pourquoi n'avez-vous pas répondu à mon texto? Je suis Randy, sexy, féminine et en direct local. Luv à entendre de u. Netcollex Ltd 08700621170150p par msg reply Stop to end"
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Umma. will call after check in.notre vie va commencer à partir de qatar donc pls prient très fort.
149,ham,K..i deleted my contact that why?,K..i a supprimé mon contact pour ça?
150,ham,Sindu got job in birla soft ..,Sindu a trouvé un emploi dans Birla Soft..
151,ham,The wine is flowing and i'm i have nevering..,Le vin coule et je n'ai jamais...
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup i thk cine est mieux parce qu'il n'y a pas besoin de 2 descendre 2 plaza mah.
153,ham,Ok... Ur typical reply...,Ok... réponse typique d'Ur...
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune"
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Tu es partout la saleté, sur le sol, les fenêtres, même sur ma chemise. Et parfois quand j'ouvre la bouche, tu es tout ce qui sort. Je rêve de mon monde sans toi, alors la moitié de mes tâches sont dehors aussi. Un temps de joie pour moi, beaucoup de télés que je vais voir. Mais je suppose que comme tout ce que tu dois juste exister, comme la pluie, la grêle et la brume, et quand mon temps ici est fini, toi et moi devenons un."
156,ham,Aaooooright are you at work?,Aaooooright êtes-vous au travail?
157,ham,I'm leaving my house now...,Je quitte ma maison maintenant...
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Bonjour, mon amour, qu'est-ce que tu fais? As-tu eu cette interview aujourd'hui? Es-tu heureux? Es-tu un bon garçon? Penses-tu à moi?"
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Vous avez une livraison de Nouvel An vous attend. Veuillez appeler le 07046744435 maintenant pour organiser la livraison
